Zone;Catégorie;Année;Unité;Valeur;Flag Description;Note
Haiti;Acces à l'eau potable de base;2000;%;56;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2000;%;17;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2001;%;57;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2001;%;18;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2002;%;58;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2002;%;19;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2003;%;59;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2003;%;20;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2004;%;59;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2004;%;21;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2005;%;60;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2005;%;22;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2006;%;60;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2006;%;23;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2007;%;61;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2007;%;24;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2008;%;61;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2008;%;25;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2009;%;62;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2009;%;26;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2010;%;62;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2010;%;27;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2011;%;63;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2011;%;28;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2012;%;63;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2012;%;29;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2013;%;64;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2013;%;30;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2014;%;64;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2014;%;31;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2015;%;65;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2015;%;32;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2016;%;65;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2016;%;34;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2017;%;66;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2017;%;35;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2018;%;66;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2018;%;36;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2019;%;66;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2019;%;37;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2020;%;67;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2020;%;37;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2021;%;67;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2021;%;37;Figure from international organizations;
Haiti;Acces à l'eau potable de base;2022;%;67;Figure from international organizations;
Haiti;Acces au service d'assainissement de base;2022;%;38;Figure from international organizations;
