Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2000","2000","%","30.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2000","2000","%","5.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2000","2000","%","3.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2001","2001","%","29.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2001","2001","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2001","2001","%","3.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2002","2002","%","29.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2002","2002","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2002","2002","%","3.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2003","2003","%","28.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2003","2003","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2003","2003","%","3.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2004","2004","%","28.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21026","Percentage of children under 5 years affected by wasting (percent)","2004","2004","%","","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21041","Percentage of children under 5 years of age who are overweight (modelled estimates) (percent)","2004","2004","%","3.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2005","2005","%","28","X","Figure from international organizations",""
