Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2000","2000","%","56","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2000","2000","%","17","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2001","2001","%","57","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2001","2001","%","18","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2002","2002","%","58","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2002","2002","%","19","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2003","2003","%","59","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2003","2003","%","20","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2004","2004","%","59","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2004","2004","%","21","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2005","2005","%","60","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2005","2005","%","22","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2006","2006","%","60","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2006","2006","%","23","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2007","2007","%","61","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2007","2007","%","24","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2008","2008","%","61","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2008","2008","%","25","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2009","2009","%","62","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2009","2009","%","26","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2010","2010","%","62","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2010","2010","%","27","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2011","2011","%","63","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2011","2011","%","28","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2012","2012","%","63","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2012","2012","%","29","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2013","2013","%","64","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2013","2013","%","30","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2014","2014","%","64","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2014","2014","%","31","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2015","2015","%","65","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21048","Percentage of population using at least basic sanitation services (percent)","2015","2015","%","32","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","93","Haiti","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2016","2016","%","65","X","Figure from international organizations",""
